year,month,day,hour,minute,second,microsecond,latitude,longitude,magnitude,depth
2004,1,1,1,41,50,700000,47.034,154.071,5.0,40.0
2004,1,1,4,39,12,150000,-21.476,169.859,5.5,10.0
2004,1,1,6,58,8,540000,-22.042,169.556,5.1,10.0
2004,1,1,8,15,57,860000,-22.013,169.289,5.0,10.0
2004,1,1,8,25,51,390000,-22.055,169.178,4.8,10.0
2004,1,1,10,17,48,960000,47.165,154.038,4.9,40.0
2004,1,1,17,14,38,400000,-39.86,-179.16,4.9,16.0
2004,1,1,23,31,50,50000,17.488,-101.303,6.1,29.4
2004,1,1,23,58,1,550000,17.42,-101.315,5.7,28.3
2004,1,2,3,49,58,800000,-45.05,166.85,5.1,22.0
2004,1,2,4,18,5,470000,38.372,101.025,4.8,25.7
2004,1,2,4,41,52,0,42.356,144.66,5.0,39.2
2004,1,2,5,57,20,880000,47.014,154.022,4.8,40.0
2004,1,2,12,28,0,860000,-30.364,-178.275,4.8,15.0
2004,1,2,12,42,45,130000,-21.49,169.908,5.4,10.0
2004,1,2,16,58,28,360000,-8.301,125.494,5.4,34.2
2004,1,2,19,48,56,200000,-35.93,178.24,4.8,33.0
2004,1,2,20,7,17,610000,2.734,-84.312,5.3,34.9
2004,1,3,8,7,34,220000,-22.376,169.728,6.0,10.0
2004,1,3,8,9,3,810000,-22.163,169.55,6.1,10.0
2004,1,3,8,13,10,420000,-22.323,169.641,5.8,10.0
2004,1,3,8,21,48,400000,-22.324,169.616,6.4,10.0
2004,1,3,8,26,39,800000,-22.445,169.712,5.1,10.0
2004,1,3,8,52,27,670000,-22.368,169.63,4.8,10.0
2004,1,3,8,54,39,90000,-22.344,169.662,4.9,10.0
2004,1,3,9,15,7,400000,-22.236,169.665,5.0,10.0
2004,1,3,9,45,19,360000,-22.3,169.535,5.5,10.0
2004,1,3,13,14,28,680000,27.739,85.931,4.9,17.1
2004,1,3,16,23,21,20000,-22.253,169.683,7.1,22.0
2004,1,3,16,33,19,880000,-22.375,169.669,5.3,10.0
