year,month,day,hour,minute,sec,milsec,kp,na
2004,1,1,0,0,0,0,3+,9
2004,1,1,3,0,0,0,4-,10
2004,1,1,6,0,0,0,4,11
2004,1,1,9,0,0,0,4-,10
2004,1,1,12,0,0,0,5-,13
2004,1,1,15,0,0,0,4-,10
2004,1,1,18,0,0,0,4-,10
2004,1,1,21,0,0,0,4-,10
2004,1,2,0,0,0,0,4,11
2004,1,2,3,0,0,0,3,8
2004,1,2,6,0,0,0,2,5
2004,1,2,9,0,0,0,2+,6
2004,1,2,12,0,0,0,3,8
2004,1,2,15,0,0,0,3,8
2004,1,2,18,0,0,0,3+,9
2004,1,2,21,0,0,0,3,8
2004,1,3,0,0,0,0,3-,7
2004,1,3,3,0,0,0,3+,9
2004,1,3,6,0,0,0,4,11
2004,1,3,9,0,0,0,4+,12
2004,1,3,12,0,0,0,3+,9
2004,1,3,15,0,0,0,3,8
2004,1,3,18,0,0,0,5-,13
2004,1,3,21,0,0,0,3+,9
2004,1,4,0,0,0,0,3+,9
2004,1,4,3,0,0,0,4-,10
2004,1,4,6,0,0,0,4-,10
2004,1,4,9,0,0,0,4-,10
2004,1,4,12,0,0,0,4-,10
2004,1,4,15,0,0,0,4+,12
2004,1,4,18,0,0,0,4-,10
2004,1,4,21,0,0,0,3,8
2004,1,5,0,0,0,0,4,11
2004,1,5,3,0,0,0,3+,9
2004,1,5,6,0,0,0,3+,9
2004,1,5,9,0,0,0,3,8
2004,1,5,12,0,0,0,4,11
2004,1,5,15,0,0,0,5-,13
2004,1,5,18,0,0,0,4,11
2004,1,5,21,0,0,0,4+,12
2004,1,6,0,0,0,0,4-,10
2004,1,6,3,0,0,0,4-,10
2004,1,6,6,0,0,0,4,11
2004,1,6,9,0,0,0,2+,6
2004,1,6,12,0,0,0,2-,4
2004,1,6,15,0,0,0,2,5
2004,1,6,18,0,0,0,3,8
2004,1,6,21,0,0,0,6,17
2004,1,7,0,0,0,0,4-,10
2004,1,7,3,0,0,0,4+,12
2004,1,7,6,0,0,0,5,14
2004,1,7,9,0,0,0,4+,12
2004,1,7,12,0,0,0,4+,12
2004,1,7,15,0,0,0,4+,12
2004,1,7,18,0,0,0,4-,10
2004,1,7,21,0,0,0,3-,7
2004,1,8,0,0,0,0,2-,4
2004,1,8,3,0,0,0,0+,0
2004,1,8,6,0,0,0,1-,1
2004,1,8,9,0,0,0,2,5
2004,1,8,12,0,0,0,2,5
2004,1,8,15,0,0,0,1+,3
2004,1,8,18,0,0,0,2,5
2004,1,8,21,0,0,0,3+,9
2004,1,9,0,0,0,0,3,8
2004,1,9,3,0,0,0,3+,9
2004,1,9,6,0,0,0,5,14
2004,1,9,9,0,0,0,3+,9
2004,1,9,12,0,0,0,3+,9
2004,1,9,15,0,0,0,4+,12
2004,1,9,18,0,0,0,4-,10
2004,1,9,21,0,0,0,3-,7
2004,1,10,0,0,0,0,3+,9
2004,1,10,3,0,0,0,4+,12
2004,1,10,6,0,0,0,5+,15
2004,1,10,9,0,0,0,4-,10
2004,1,10,12,0,0,0,4,11
2004,1,10,15,0,0,0,4-,10
2004,1,10,18,0,0,0,4,11
2004,1,10,21,0,0,0,2,5
2004,1,11,0,0,0,0,2,5
2004,1,11,3,0,0,0,1+,3
2004,1,11,6,0,0,0,3-,7
2004,1,11,9,0,0,0,4-,10
2004,1,11,12,0,0,0,5-,13
2004,1,11,15,0,0,0,5-,13
2004,1,11,18,0,0,0,3+,9
2004,1,11,21,0,0,0,2,5
2004,1,12,0,0,0,0,1+,3
2004,1,12,3,0,0,0,2,5
2004,1,12,6,0,0,0,0+,0
2004,1,12,9,0,0,0,0+,0
2004,1,12,12,0,0,0,2,5
2004,1,12,15,0,0,0,3-,7
2004,1,12,18,0,0,0,3+,9
2004,1,12,21,0,0,0,4-,10
2004,1,13,0,0,0,0,3+,9
2004,1,13,3,0,0,0,3-,7
2004,1,13,6,0,0,0,2,5
2004,1,13,9,0,0,0,2,5
2004,1,13,12,0,0,0,4+,12
2004,1,13,15,0,0,0,4+,12
2004,1,13,18,0,0,0,4-,10
2004,1,13,21,0,0,0,4,11
2004,1,14,0,0,0,0,4,11
2004,1,14,3,0,0,0,3-,7
2004,1,14,6,0,0,0,2-,4
2004,1,14,9,0,0,0,2,5
2004,1,14,12,0,0,0,3,8
2004,1,14,15,0,0,0,2+,6
2004,1,14,18,0,0,0,2,5
2004,1,14,21,0,0,0,3-,7
2004,1,15,0,0,0,0,2+,6
2004,1,15,3,0,0,0,3,8
2004,1,15,6,0,0,0,1,2
2004,1,15,9,0,0,0,2-,4
2004,1,15,12,0,0,0,4,11
2004,1,15,15,0,0,0,4,11
2004,1,15,18,0,0,0,4,11
2004,1,15,21,0,0,0,4,11
2004,1,16,0,0,0,0,5-,13
2004,1,16,3,0,0,0,3+,9
2004,1,16,6,0,0,0,2+,6
2004,1,16,9,0,0,0,4+,12
2004,1,16,12,0,0,0,4-,10
2004,1,16,15,0,0,0,5-,13
2004,1,16,18,0,0,0,5-,13
2004,1,16,21,0,0,0,4+,12
2004,1,17,0,0,0,0,3,8
2004,1,17,3,0,0,0,3+,9
2004,1,17,6,0,0,0,3,8
2004,1,17,9,0,0,0,3+,9
2004,1,17,12,0,0,0,3-,7
2004,1,17,15,0,0,0,3,8
2004,1,17,18,0,0,0,4,11
2004,1,17,21,0,0,0,4,11
2004,1,18,0,0,0,0,2+,6
